,Player,Salary
329,Meyers Leonard,10595506
330,Michael Beasley,3500000
331,Michael Carter-Williams,1757429
332,Michael Kidd-Gilchrist,13000000
333,Michael Porter,2894160
334,Mikal Bridges,3552960
335,Mike Conley,30521116
336,Mike Muscala,5000000
337,Mike Scott,4320500
338,Miles Bridges,3206640
339,Miles Plumlee,12500000
340,Milos Teodosic,6300000
341,Miroslav Raduljica,252043
342,Mirza Teletovic,3500000
343,Mitchell Robinson,1485440
344,Mohamed Bamba,4865040
345,Monta Ellis,2245400
346,Monte Morris,1349383
347,Montrezl Harrell,6000000
348,Moritz Wagner,1762080
349,Myles Turner,3410284
350,Nemanja Bjelica,6500000
351,Nene Hilario,3651480
352,Nerlens Noel,1757429
353,Nicolas Batum,24000000
354,Nik Stauskas,1621415
355,Nikola Jokic,24605181
356,Nikola Mirotic,12500000
357,Nikola Vucevic,12750000
358,Noah Vonleh,1621415
359,Norman Powell,9367200
360,OG Anunoby,1952760
361,Omari Spellman,1620480
362,Omer Asik,11286516
363,Omri Casspi,2176260
364,Otto Porter,26011913
365,P.J. Tucker,7969537
366,Pascal Siakam,1544951
367,Pat Connaughton,1641000
368,Patrick Beverley,5027028
369,Patrick Patterson,5451600
370,Patty Mills,11571429
371,Pau Gasol,16800000
372,Paul George,30560700
373,Paul Millsap,29730769
374,Quincy Pondexter,1893447
375,Quinn Cook,1544951
376,Rade Zagorac,1378242
377,Rajon Rondo,9000000
378,Raul Neto,2150000
379,Ray Spalding,838464
380,Raymond Felton,2393887
381,Reggie Bullock,2500000
382,Reggie Jackson,17043478
383,Richaun Holmes,1600520
384,Ricky Rubio,14975000
385,Robert Covington,10464092
386,Robert Williams,1654440
387,Robin Lopez,14357750
388,Rodions Kurucs,1618320
389,Rodney Hood,3472887
390,Rodney McGruder,1544951
391,Ron Baker,4544400
392,Rondae Hollis-Jefferson,2470357
393,Royce O'Neale,1378242
394,Rudy Gay,10087200
395,Rudy Gobert,23241573
396,Russell Westbrook,35654150
397,Ryan Anderson,20421546
398,Ryan Arcidiacono,1349383
399,Ryan Broekhoff,838464
400,Salah Mejri,1567007
401,Sam Dekker,2760095
402,Semi Ojeleye,1378242
403,Serge Ibaka,21666667
404,Seth Curry,2795000
405,Shabazz Napier,1942422
406,Shai Gilgeous-Alexander,3375360
407,Shaquille Harrison,50000
408,Shaun Livingston,8307692
409,Shelvin Mack,3029463
410,Sindarius Thornwell,1378242
411,Skal Labissiere,1544951
412,Solomon Hill,12252928
413,Spencer Dinwiddie,1656092
414,Spencer Hawes,2007058
415,Stanley Johnson,3940402
416,Stephen Curry,37457154
417,Sterling Brown,1378242
418,Steven Adams,24157304
419,Sviatoslav Mykhailiuk,1487694
420,T.J. Leaf,2407560
421,T.J. McConnell,1600520
422,T.J. Warren,11750000
423,Taj Gibson,14000000
424,Taurean Waller-Prince,2526840
425,Terrance Ferguson,2118840
426,Terrence Ross,10500000
427,Terry Rozier,3050390
428,Thabo Sefolosha,5250000
429,Thaddeus Young,13764045
430,Thomas Bryant,1378242
431,Thon Maker,2799720
432,Tim Duncan,1881250
433,Tim Frazier,1567007
434,Tim Hardaway,17325000
435,Timofey Mozgov,16000000
436,Timothe Luwawu-Cabarrot,1544951
437,Tobias Harris,14800000
438,Tomas Satoransky,3129187
439,Tony Bradley,1679520
440,Tony Parker,5000000
441,Tony Snell,10607143
442,Torrey Craig,2000000
443,Trae Young,5356440
444,Treveon Graham,1512601
445,Trevor Ariza,15000000
446,Trey Burke,1795015
447,Trey Lyles,3364249
448,Tristan Thompson,17469565
449,Troy Brown,2749080
450,Troy Daniels,3258539
451,Troy Williams,156924
452,Tyler Dorsey,1378242
453,Tyler Johnson,19245370
454,Tyler Lydon,1874640
455,Tyreke Evans,12400000
456,Tyrone Wallace,1349383
457,Tyson Chandler,13585000
458,Tyus Jones,2444053
459,Udonis Haslem,2393887
460,Victor Oladipo,21000000
461,Vince Carter,2393887
462,Wade Baldwin,1544951
463,Wayne Ellington,6270000
464,Wayne Selden,1544951
465,Wendell Carter,4441200
466,Wesley Iwundu,1378242
467,Wesley Johnson,6134520
468,Wesley Matthews,18622514
469,Will Barton,11830358
470,Willie Cauley-Stein,4696875
471,Willy Hernangomez,1544951
472,Wilson Chandler,12800562
473,Yogi Ferrell,3000000
474,Zach Collins,3628920
475,Zach LaVine,19500000
476,Zach Randolph,11692308
477,Zaza Pachulia,2393887
478,Zhaire Smith,2611800
479,Zhou Qi,1378242
